duration,rtt,proto,tag,rtag,pkt,oct,rpkt,roct,malicious
300.206,0.0,2,0,0,6,192,0,0,False
1624.687,0.0,17,0,0,60,9552,0,0,False
1515.774,0.0,17,0,0,48,18192,0,0,False
0.101,0.0,17,0,0,2,148,0,0,False
0.101,0.0,17,0,0,2,108,0,0,False
9.002,0.0,6,0,0,3,152,0,0,False
9.007,0.0,6,0,0,3,152,0,0,False
9.004,0.0,6,0,0,3,152,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
8.001,0.0,17,0,0,3,186,0,0,False
7.001,0.0,17,0,0,4,248,0,0,False
9.003,0.0,6,0,0,3,152,0,0,False
8.993,0.0,6,0,0,3,152,0,0,False
9.003,0.0,6,0,0,3,152,0,0,False
9.003,0.0,6,0,0,3,152,0,0,False
126.297,0.0,2,0,0,2,64,0,0,False
3.006,0.0,17,0,0,4,804,0,0,False
63.008,0.0,17,0,0,7,1099,0,0,False
3.008,0.0,17,0,0,4,804,0,0,False
1694.634,0.0,17,0,0,56,3808,0,0,False
1694.634,0.0,17,0,0,56,4928,0,0,False
3.004,0.0,17,0,0,4,804,0,0,False
3.003,0.0,17,0,0,4,804,0,0,False
3.004,0.0,17,0,0,4,804,0,0,False
89.011,0.0,1,0,0,90,22779,0,0,False
90.761,0.0,17,0,0,10004,11955465,0,0,False
84.76,0.0,17,0,0,19,1484,0,0,False
0.188,0.0,17,0,0,6,1982,0,0,True
0.193,0.0,17,0,0,6,1982,0,0,False
0.19,0.0,17,0,0,6,1988,0,0,False
3.002,0.0,17,0,0,4,804,0,0,False
126.01,0.0,2,0,0,2,64,0,0,False
0.006,0.0,2,0,0,2,64,0,0,False
0.248,0.0,58,0,0,5,380,0,0,False
0.099,0.0,17,0,0,2,148,0,0,False
0.099,0.0,17,0,0,2,108,0,0,False
2.998,0.0,6,0,0,2,104,0,0,False
0.189,0.0,17,0,0,6,1988,0,0,False
9.002,0.0,6,0,0,3,152,0,0,False
9.001,0.0,6,0,0,3,152,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
3.002,0.0,17,0,0,4,804,0,0,False
8.003,0.0,17,0,0,3,186,0,0,False
7.002,0.0,17,0,0,4,248,0,0,False
9.01,0.0,6,0,0,3,152,0,0,False
8.996,0.0,6,0,0,3,152,0,0,False
8.998,0.0,6,0,0,3,152,0,0,False
9.006,0.0,6,0,0,3,152,0,0,False
3.004,0.0,17,0,0,4,804,0,0,False
0.0,0.0,2,0,0,1,32,0,0,False
0.0,0.0,1,0,0,8,4608,0,0,False
3.002,0.0,17,0,0,4,804,0,0,False
63.004,0.0,17,0,0,7,1099,0,0,False
0.003,0.0,1,0,0,3,1728,0,0,False
0.0,0.0,17,0,0,1,229,0,0,False
0.0,0.0,1,0,0,5,2880,0,0,False
3.004,0.0,17,0,0,4,804,0,0,False
3.002,0.0,17,0,0,4,804,0,0,False
0.018,0.0,2,0,0,2,64,0,0,False
0.101,0.0,17,0,0,2,148,0,0,False
0.1,0.0,17,0,0,2,108,0,0,False
0.448,0.0,58,0,0,5,380,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
8.999,0.0,6,0,0,3,152,0,0,False
315.886,0.0,17,0,0,12,1932,0,0,False
315.926,0.0,17,0,0,12,4548,0,0,False
8.001,0.0,17,0,0,3,186,0,0,False
7.0,0.0,17,0,0,4,248,0,0,False
9.001,0.0,6,0,0,3,152,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
9.007,0.0,6,0,0,3,152,0,0,False
9.0,0.0,6,0,0,3,152,0,0,False
378.005,0.0,2,0,0,4,112,0,0,False
126.389,0.0,2,0,0,2,64,0,0,False
3.003,0.0,17,0,0,4,804,0,0,False
379.996,0.0,2,0,0,4,128,0,0,False
378.004,0.0,2,0,0,10,320,0,0,False
3.002,0.0,17,0,0,4,804,0,0,False
0.448,0.0,58,0,0,2,152,0,0,False
0.0,0.0,58,0,0,1,64,0,0,False
0.32,0.0,58,0,0,2,152,0,0,False
522.431,0.012,6,0,0,20,2180,10,1310,False
2.005,0.136,17,0,0,1,122,6,2815,False
2.188,0.095,17,0,0,1,122,6,2815,False
10.847,0.0,58,0,0,3,168,0,0,False
585.884,0.0,17,0,0,123,9840,0,0,False
590.461,0.0,17,0,0,52453,60295634,0,0,False
12.761,0.0,17,0,0,8,976,0,0,True
0.0,0.0,1,0,0,1,304,0,0,False
17.024,0.0,17,0,0,10,1220,0,0,True
532.333,0.0,17,0,0,300,105530,0,0,False
16.246,0.0,17,0,0,5,610,0,0,True
16.796,0.0,17,0,0,9,1098,0,0,True
13.454,0.0,17,0,0,7,854,0,0,True
9.047,0.0,17,0,0,6,732,0,0,True
0.192,0.0,17,0,0,3,1022,0,0,True
9.774,0.0,17,0,0,6,732,0,0,True
17.304,0.0,17,0,0,10,1220,0,0,True
14.539,0.0,17,0,0,7,854,0,0,True
18.247,0.0,17,0,0,8,976,0,0,True
17.382,0.0,17,0,0,8,976,0,0,True
17.765,0.0,17,0,0,12,1464,0,0,True
13.069,0.0,17,0,0,4,488,0,0,True
18.402,0.0,17,0,0,5,610,0,0,True
16.062,0.0,17,0,0,9,1098,0,0,True
16.187,0.0,17,0,0,8,976,0,0,True
19.603,0.0,17,0,0,16,1952,0,0,True
18.049,0.0,17,0,0,13,1586,0,0,True
18.34,0.0,17,0,0,9,1098,0,0,True
19.406,0.0,17,0,0,9,1098,0,0,True
19.82,0.0,17,0,0,9,1098,0,0,True
20.098,0.0,17,0,0,9,1098,0,0,True
18.437,0.0,17,0,0,11,1342,0,0,True
19.69,0.0,17,0,0,5,610,0,0,True
17.31,0.0,17,0,0,9,1098,0,0,True
20.391,0.0,17,0,0,7,854,0,0,True
15.887,0.0,17,0,0,8,976,0,0,True
12.352,0.0,17,0,0,5,610,0,0,True
16.129,0.0,17,0,0,8,976,0,0,True
17.827,0.0,17,0,0,7,854,0,0,True
19.326,0.0,17,0,0,11,1342,0,0,True
18.066,0.0,17,0,0,10,1220,0,0,True
19.107,0.0,17,0,0,13,1586,0,0,True
20.018,0.0,17,0,0,10,1220,0,0,True
18.662,0.0,17,0,0,11,1342,0,0,True
21.299,0.0,17,0,0,11,1342,0,0,True
17.982,0.0,17,0,0,10,1220,0,0,True
21.047,0.0,17,0,0,10,1220,0,0,True
21.137,0.0,17,0,0,8,976,0,0,True
14.352,0.0,17,0,0,4,488,0,0,True
20.581,0.0,17,0,0,11,1342,0,0,True
19.771,0.0,17,0,0,7,854,0,0,True
20.678,0.0,17,0,0,10,1220,0,0,True
20.929,0.0,17,0,0,6,732,0,0,True
19.044,0.0,17,0,0,6,732,0,0,True
15.301,0.0,17,0,0,8,976,0,0,True
20.424,0.0,17,0,0,11,1342,0,0,True
18.387,0.0,17,0,0,11,1342,0,0,True
19.045,0.0,17,0,0,12,1464,0,0,True
14.062,0.0,17,0,0,7,854,0,0,True
21.451,0.0,17,0,0,7,854,0,0,True
13.888,0.0,17,0,0,6,732,0,0,True
21.635,0.0,17,0,0,12,1464,0,0,True
21.043,0.0,17,0,0,13,1586,0,0,True
21.963,0.0,17,0,0,11,1342,0,0,True
22.258,0.0,17,0,0,17,2074,0,0,True
21.44,0.0,17,0,0,9,1098,0,0,True
22.158,0.0,17,0,0,4,488,0,0,True
0.145,0.0,17,0,0,3,1031,0,0,False
17.041,0.0,17,0,0,16,1952,0,0,True
22.217,0.0,17,0,0,9,1098,0,0,True
18.108,0.0,17,0,0,5,610,0,0,True
21.789,0.0,17,0,0,12,1464,0,0,True
21.719,0.0,17,0,0,11,1342,0,0,True
19.436,0.0,17,0,0,7,854,0,0,True
22.011,0.0,17,0,0,12,1464,0,0,True
17.493,0.0,17,0,0,4,488,0,0,True
21.389,0.0,17,0,0,9,1098,0,0,True
20.1,0.0,17,0,0,8,976,0,0,True
21.936,0.0,17,0,0,11,1342,0,0,True
20.041,0.0,17,0,0,8,976,0,0,True
19.04,0.0,17,0,0,8,976,0,0,True
19.949,0.0,17,0,0,11,1342,0,0,True
22.007,0.0,17,0,0,17,2074,0,0,True
19.897,0.0,17,0,0,11,1342,0,0,True
21.103,0.0,17,0,0,8,976,0,0,True
21.575,0.0,17,0,0,10,1220,0,0,True
17.796,0.0,17,0,0,10,1220,0,0,True
22.883,0.0,17,0,0,8,976,0,0,True
21.701,0.0,17,0,0,12,1464,0,0,True
19.989,0.0,17,0,0,13,1586,0,0,True
19.754,0.0,17,0,0,8,976,0,0,True
19.948,0.0,17,0,0,11,1342,0,0,True
20.606,0.0,17,0,0,7,854,0,0,True
23.187,13.092,17,0,0,10,1220,1,433,True
23.048,0.0,17,0,0,11,1342,0,0,True
21.656,0.0,17,0,0,11,1342,0,0,True
22.769,0.0,17,0,0,8,976,0,0,True
22.635,0.0,17,0,0,7,854,0,0,True
21.771,0.0,17,0,0,10,1220,0,0,True
22.215,0.0,17,0,0,13,1586,0,0,True
21.785,0.0,17,0,0,12,1464,0,0,True
23.097,0.0,17,0,0,9,1098,0,0,True
23.219,0.0,17,0,0,10,1220,0,0,True
21.088,0.0,17,0,0,9,1098,0,0,True
19.701,0.0,17,0,0,15,1830,0,0,True
23.286,0.0,17,0,0,9,1098,0,0,True
21.851,0.0,17,0,0,6,732,0,0,True
16.411,0.0,17,0,0,10,1220,0,0,True
23.172,0.0,17,0,0,10,1220,0,0,True
23.509,0.0,17,0,0,11,1342,0,0,True
18.054,0.0,17,0,0,14,1708,0,0,True
20.08,0.0,17,0,0,6,732,0,0,True
19.405,0.0,17,0,0,10,1220,0,0,True
22.624,0.0,17,0,0,5,610,0,0,True
17.277,0.0,17,0,0,7,854,0,0,True
18.79,0.0,17,0,0,9,1098,0,0,True
22.969,0.0,17,0,0,9,1098,0,0,True
23.739,0.0,17,0,0,10,1220,0,0,True
21.18,0.0,17,0,0,10,1220,0,0,True
22.234,0.0,17,0,0,6,732,0,0,True
23.738,0.0,17,0,0,7,854,0,0,True
22.854,0.0,17,0,0,12,1464,0,0,True
21.939,0.0,17,0,0,7,854,0,0,True
19.42,0.0,17,0,0,10,1220,0,0,True
19.859,0.0,17,0,0,14,1708,0,0,True
21.988,0.0,17,0,0,9,1098,0,0,True
23.818,0.0,17,0,0,13,1586,0,0,True
18.935,0.0,17,0,0,12,1464,0,0,True
23.945,0.0,17,0,0,14,1708,0,0,True
21.008,0.0,17,0,0,10,1220,0,0,True
21.587,0.0,17,0,0,9,1098,0,0,True
22.195,0.0,17,0,0,13,1586,0,0,True
21.121,0.0,17,0,0,9,1098,0,0,True
12.014,0.0,17,0,0,9,1098,0,0,True
22.872,0.0,17,0,0,9,1098,0,0,True
22.657,0.0,17,0,0,6,732,0,0,True
20.444,0.0,17,0,0,12,1464,0,0,True
23.941,0.0,17,0,0,12,1464,0,0,True
23.546,0.0,17,0,0,11,1342,0,0,True
14.776,0.0,17,0,0,8,976,0,0,True
23.207,0.0,17,0,0,14,1708,0,0,True
21.54,0.0,17,0,0,9,1098,0,0,True
10.048,0.0,17,0,0,5,610,0,0,True
24.063,0.0,17,0,0,12,1464,0,0,True
23.333,0.0,17,0,0,9,1098,0,0,True
0.188,0.0,17,0,0,3,994,0,0,False
24.32,0.0,17,0,0,13,1586,0,0,True
23.933,0.0,17,0,0,13,1586,0,0,True
23.967,0.0,17,0,0,10,1220,0,0,True
22.576,0.0,17,0,0,9,1098,0,0,True
23.402,0.0,17,0,0,7,854,0,0,True
23.037,0.0,17,0,0,13,1586,0,0,True
23.916,0.0,17,0,0,16,1952,0,0,True
24.306,0.0,17,0,0,16,1952,0,0,True
23.935,0.0,17,0,0,8,976,0,0,True
20.865,0.0,17,0,0,8,976,0,0,True
21.76,0.0,17,0,0,9,1098,0,0,True
21.546,0.0,17,0,0,8,976,0,0,True
23.189,0.0,17,0,0,11,1342,0,0,True
23.461,0.0,17,0,0,11,1342,0,0,True
23.269,0.0,17,0,0,11,1342,0,0,True
24.047,0.0,17,0,0,9,1098,0,0,True
22.401,0.0,17,0,0,8,976,0,0,True
24.726,0.0,17,0,0,9,1098,0,0,True
24.091,0.0,17,0,0,6,732,0,0,True
24.027,0.0,17,0,0,10,1220,0,0,True
16.681,0.0,17,0,0,12,1464,0,0,True
16.014,0.0,17,0,0,6,732,0,0,True
22.911,0.0,17,0,0,10,1220,0,0,True
21.526,0.0,17,0,0,10,1220,0,0,True
21.059,0.0,17,0,0,9,1098,0,0,True
24.82,0.0,17,0,0,14,1708,0,0,True
22.502,0.0,17,0,0,9,1098,0,0,True
24.593,0.0,17,0,0,12,1464,0,0,True
21.953,0.0,17,0,0,9,1098,0,0,True
21.039,0.0,17,0,0,9,1098,0,0,True
22.271,0.0,17,0,0,13,1586,0,0,True
21.625,0.0,17,0,0,8,976,0,0,True
25.006,0.0,17,0,0,15,1830,0,0,True
24.58,0.0,17,0,0,7,854,0,0,True
23.342,0.0,17,0,0,13,1586,0,0,True
24.559,0.0,17,0,0,7,854,0,0,True
23.488,0.0,17,0,0,13,1586,0,0,True
22.32,0.0,17,0,0,8,976,0,0,True
23.829,0.0,17,0,0,11,1342,0,0,True
25.066,0.0,17,0,0,12,1464,0,0,True
21.489,0.0,17,0,0,9,1098,0,0,True
24.39,0.0,17,0,0,9,1098,0,0,True
18.255,0.0,17,0,0,5,610,0,0,True
24.61,0.0,17,0,0,14,1708,0,0,True
22.067,0.0,17,0,0,15,1830,0,0,True
16.689,0.0,17,0,0,3,366,0,0,True
